epoch,box,cls,Recall,Precision,mAP@50,mAP
001,1.127,1.150,0.456,0.456,0.483,0.320
002,1.145,1.185,0.443,0.443,0.470,0.310
003,1.140,1.183,0.462,0.462,0.489,0.327
004,1.142,1.182,0.467,0.467,0.486,0.324
005,1.142,1.178,0.440,0.440,0.487,0.325
006,1.141,1.179,0.457,0.457,0.491,0.330
007,1.139,1.175,0.454,0.454,0.487,0.326
008,1.132,1.162,0.465,0.465,0.493,0.331
009,1.130,1.165,0.470,0.470,0.496,0.332
010,1.131,1.162,0.480,0.480,0.495,0.333
011,1.128,1.163,0.453,0.453,0.495,0.333
012,1.130,1.159,0.455,0.455,0.495,0.331
013,1.131,1.155,0.466,0.466,0.493,0.332
014,1.129,1.156,0.462,0.462,0.499,0.334
015,1.133,1.153,0.456,0.456,0.493,0.331
016,1.126,1.153,0.468,0.468,0.493,0.330
017,1.123,1.141,0.467,0.467,0.496,0.332
018,1.122,1.141,0.462,0.462,0.493,0.331
019,1.123,1.136,0.463,0.463,0.498,0.334
020,1.114,1.136,0.460,0.460,0.495,0.330
